Uri Alon Plate,UriAlon well,Gen,Lab BS&BS Well,Lab BS&BS Plate
AZ01,A10,cysB,A1,1
AZ01,A11,aroH,A2,1
AZ01,A4,ilvI,A3,1
AZ01,A7,proB,A4,1
AZ01,A9,serC,A5,1
AZ01,B11,argG,A6,1
AZ01,B12,asnA,A7,1
AZ01,B3,pheL,A8,1
AZ01,B5,tyrB,A9,1
AZ01,B6,cueO,A10,1
AZ01,B8,lysR,A11,1
AZ01,B9,metC,A12,1
AZ01,C10,U139,B1,1
AZ01,C9,trpR,B2,1
AZ01,D4,aer,B3,1
AZ01,D5,asnC,B4,1
AZ01,D7,ilvY,B5,1
AZ01,D8,metR,B6,1
AZ01,D9,metJ,B7,1
AZ01,E11,dapA,B8,1
AZ01,E12,glyA,B9,1
AZ01,E7,aspC,B10,1
AZ01,E8,wrbA,B11,1
AZ01,F11,ptsG,B12,1
AZ01,F12,malE,C1,1
AZ01,F3,U66,C2,1
AZ01,G10,flgA,C3,1
AZ01,G11,gnd,C4,1
AZ01,G2,pfkA,C5,1
AZ01,G3,edd,C6,1
AZ01,H1,lacZ,C7,1
AZ01,H10,fliC,C8,1
AZ01,H11,icd,C9,1
AZ01,H6,gntR,C10,1
AZ01,H7,tpiA,C11,1
AZ02,A10,mngR,C12,1
AZ02,A6,crp,D1,1
AZ02,A7,pdhR,D2,1
AZ02,A8,pykF,D3,1
AZ02,A9,sdhC,D4,1
AZ02,B10,msrB,D5,1
AZ02,B12,dps,D6,1
AZ02,B3,alsR,D7,1
AZ02,B5,frdA,D8,1
AZ02,B7,uvrA,D9,1
AZ02,B8,fruB,D10,1
AZ02,B9,yhfA,D11,1
AZ02,C5,gltA,D12,1
AZ02,C6,pgi,E1,1
AZ02,C9,cyoA,E2,1
AZ02,D1,ansB,E3,1
AZ02,D11,gadW,E4,1
AZ02,D12,yhjG,E5,1
AZ02,D5,atpI,E6,1
AZ02,D6,adiA,E7,1
AZ02,D7,cadA,E8,1
AZ02,D9,idnR,E9,1
AZ02,F7,sdaA,E10,1
AZ02,F8,exuR,E11,1
AZ02,F9,tnaC,E12,1
AZ02,G4,idnK,F1,1
AZ02,H10,acnB,F2,1
AZ03,A11,galE,F3,1
AZ03,A9,yjiT,F4,1
AZ03,B2,uidA,F5,1
AZ03,B3,gatY,F6,1
AZ03,B4,galS,F7,1
AZ03,C8,yrbL,F8,1
AZ03,D10,glcC,F9,1
